Métrica,Média CV,Desvio padrão
Acurácia,0.727807486631016,0.028317671797109
Precisão,0.612051000476904,0.04696934086131919
Recall,0.6380852550663871,0.10883005025931099
F1-score,0.6172828042893512,0.04515849535075431
ROC AUC,0.7679098532494759,0.027325392921309512
